Designator,Mid X,Mid Y,Rotation,Layer
C1,14.925,65.95,180.0,top
C10,22.5,21.75,0.0,top
C11,50.5,18.0,0.0,top
C12,45.0,19.0,180.0,top
C13,5.49,12.5,180.0,top
C2,14.925,71.95,180.0,top
C3,13.25,64.25,180.0,top
C4,37.5,28.5,0.0,top
C5,48.24,45.5,0.0,top
C6,21.7025,73.3525,180.0,top
C7,22.2025,71.8525,180.0,top
C8,3.7025,21.75,0.0,top
C9,12.2125,21.75,0.0,top
D1,35.5,17.65,0.0,top
D10,7.2025,21.75,0.0,top
D11,16.25,21.75,0.0,top
D12,26.5,21.75,0.0,top
D13,42.565,18.98,180.0,top
D14,2.585,11.489752,180.0,top
D15,52.635,19.0,0.0,top
D16,10.0,59.75,90.0,top
D17,10.0,62.0,90.0,top
D18,10.25,57.75,270.0,top
D2,10.925,68.95,90.0,top
D3,35.5,10.65,0.0,top
D4,14.0,61.5,180.0,top
D5,35.5,3.65,0.0,top
D6,6.5625,67.0,0.0,top
D7,39.0,35.3525,270.0,top
D8,39.5,30.5,0.0,top
D9,40.3525,25.5,270.0,top
J1,4.2525,59.0325,270.0,top
J2,45.055,34.8525,90.0,top
J3,45.11,25.8525,90.0,top
J4,47.0,61.73,180.0,top
J5,20.32,64.98,180.0,top
J6,52.08,61.77,180.0,top
R1,6.25,65.0,180.0,top
R10,7.2125,22.75,0.0,top
R11,16.25,22.75,0.0,top
R12,26.5,22.75,0.0,top
R13,52.75,18.0,0.0,top
R14,42.49,18.0,180.0,top
R15,2.51,12.489752,180.0,top
R16,3.6925,22.75,180.0,top
R17,12.2125,22.75,180.0,top
R18,22.5,22.77,180.0,top
R19,50.5,19.06,180.0,top
R2,3.99,65.0,0.0,top
R20,45.0,18.0,0.0,top
R21,5.5,11.5,0.0,top
R3,7.5625,69.25,270.0,top
R4,37.5,22.5,270.0,top
R5,37.5,27.5,0.0,top
R6,50.26,45.5,0.0,top
R7,49.0225,51.0,0.0,top
R8,21.0,57.0,180.0,top
R9,21.0,58.25,180.0,top
SW1,49.0225,53.5,180.0,top
SW2,49.25,48.0,0.0,top
SW3,38.4875,46.81,270.0,top
SW4,47.0,12.0,180.0,top
SW5,5.5,17.25,180.0,top
SW6,15.25,17.25,180.0,top
SW7,25.25,17.25,180.0,top
SW8,3.73,9.0,270.0,top
U1,15.0,69.0,270.0,top
U3,15.495774,38.5,0.0,top
U4,33.7025,65.0675,0.0,top
U5,15.0,6.5,0.0,top
